TournamentId,TournamentName,GameId,GameName,Location,CountryName,CountryCode,StartDate,EndDate,TotalUSDPrize,latitude,longitude,year,TournamentsByCountry,TournamentsByGame
28000,FACEIT Pro League NA May Week #3 2018 (CS:GO),245,Counter-Strike: Global Offensive,Online,Serbia and Montenegro,CS,14/05/2018,21/05/2018,5200.0,,,2018.0,428,1018
60311,Gfinity Summer Series 2018 - Cup 16,409,Rocket League,Online,,,21/05/2018,21/05/2018,301.83,,,2018.0,0,283
28420,BAM 10: Melee Doubles,204,Super Smash Bros. Melee,"Melbourne, Australia",Australia,AU,18/05/2018,20/05/2018,826.25,-25.7323831126,134.491117773,2018.0,115,114
28151,BAM 10: Melee Singles,204,Super Smash Bros. Melee,"Melbourne, Australia",Australia,AU,18/05/2018,20/05/2018,1366.94,-25.7323831126,134.491117773,2018.0,115,114
27867,ESL Pro League Season 7 - Finals,245,Counter-Strike: Global Offensive,"Dallas, USA",United States,US,15/05/2018,20/05/2018,750000.0,45.6875333395,-112.494333916,2018.0,350,1018
27874,esportsbetting.com Launch Invitational,245,Counter-Strike: Global Offensive,Online,,,17/04/2018,20/05/2018,10000.0,,,2018.0,0,1018
27869,Gamdom Premier,245,Counter-Strike: Global Offensive,Online,,,21/04/2018,20/05/2018,50000.0,,,2018.0,0,1018
27871,Go4CS:GO EU #304,245,Counter-Strike: Global Offensive,Online,Serbia and Montenegro,CS,20/05/2018,20/05/2018,117.71,,,2018.0,428,1018
27946,Go4SC2 EU #779,151,StarCraft II,online,Seychelles,SC,20/05/2018,20/05/2018,119.6,,,2018.0,76,458
34898,GOML 2018: Melee Doubles,204,Super Smash Bros. Melee,"Mississauga, Ontario, Canada",Oman,OM,18/05/2018,20/05/2018,1537.41,20.60210016,56.0925824468,2018.0,6,114
28149,GOML 2018: Melee Singles,204,Super Smash Bros. Melee,"Mississauga, Ontario, Canada",Oman,OM,18/05/2018,20/05/2018,3484.8,20.60210016,56.0925824468,2018.0,6,114
27858,Mid-Season Invitational 2018,164,League of Legends,"Berlin, Germany / Paris, France",Germany,DE,03/05/2018,20/05/2018,1370520.0,51.1062734358,10.3817108727,2018.0,76,192
37222,Oulunkylän Offstage 3 (SSBM Singles),204,Super Smash Bros. Melee,"Helsinki, Finland",Solomon Islands,SB,19/05/2018,20/05/2018,153.07,-8.91107375944,159.637514734,2018.0,63,114
51608,Proving Grounds Round 1,204,Super Smash Bros. Melee,"Bangalore, India",India,IN,19/05/2018,20/05/2018,13.0,22.8881002778,79.6158935763,2018.0,5,114
60353,Rival Esports: Spring Open 2018,409,Rocket League,Online,,,20/05/2018,20/05/2018,1000.0,,,2018.0,0,283
27873,Road to GG League 2018 Stage #3 Gdańsk,245,Counter-Strike: Global Offensive,"Gdańsk, Pomeranian, Poland",Poland,PL,19/05/2018,20/05/2018,2737.0,52.1248371866,19.3943576278,2018.0,91,1018
27866,Saint-Petersburg IMPULSE CS:GO CHAMPIONSHIP,245,Counter-Strike: Global Offensive,"Saint Petersburg, Russia",Switzerland,CH,19/05/2018,20/05/2018,4076.4,46.7990859221,8.21591266153,2018.0,13,1018
29684,SC2ONLINE Community Open #95,151,StarCraft II,Online,Netherlands,NL,20/05/2018,20/05/2018,50.0,52.0724168637,5.22159177132,2018.0,53,458
